,total_sqft,bhk,baths,prices_lakh,area_ Built-up Area,area_ Carpet Area,area_ Plot Area,area_ Super built-up Area,price_per_sqft,Burari,Dilshad Colony,Dilshad Garden,Dwarka Mor,Hari Nagar,Laxmi Nagar,Mahavir Enclave,Mehrauli,Mohan Garden,Om Vihar,Paschim Vihar,Pitampura,Sector 16 Rohini,Sector 22 Rohini,Shahadra,Tilak Nagar,Uttam Nagar,Vikas Puri,Vishnu Garden
0,630.0,2.0,2.0,28.0,0,1,0,0,4444.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,900.0,3.0,2.0,38.0,0,0,0,1,4222.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,992.0,2.0,2.0,41.0,0,0,0,1,4133.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,603.0,2.0,2.0,25.0,0,1,0,0,4145.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,900.0,3.0,2.0,40.0,1,0,0,0,4444.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,750.0,2.0,2.0,53.0,0,0,0,1,7066.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,850.0,2.0,2.0,57.0,0,1,0,0,6705.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,900.0,2.0,2.0,70.0,0,1,0,0,7777.78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,450.0,1.0,1.0,30.0,0,1,0,0,6666.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,700.0,2.0,1.0,45.0,0,1,0,0,6428.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,800.0,2.0,2.0,45.0,0,1,0,0,5625.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,430.0,1.0,1.0,25.0,0,1,0,0,5813.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,900.0,2.0,2.0,65.0,0,1,0,0,7222.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,900.0,2.0,2.0,65.0,1,0,0,0,7222.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,900.0,3.0,2.0,80.0,0,1,0,0,8888.89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,800.0,2.0,2.0,50.0,0,1,0,0,6250.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,630.0,2.0,1.0,60.0,0,1,0,0,9523.81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,715.0,2.0,2.0,70.0,0,0,0,1,9790.21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,800.0,2.0,1.0,72.0,0,0,0,1,9000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,400.0,1.0,1.0,14.5,0,1,0,0,3625.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,630.0,2.0,2.0,23.0,0,0,0,1,3650.79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,900.0,3.0,2.0,40.0,0,0,0,1,4444.44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,650.0,2.0,2.0,31.0,1,0,0,0,4769.23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,720.0,2.0,1.0,28.0,1,0,0,0,3888.89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,900.0,3.0,2.0,41.0,1,0,0,0,4555.56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,360.0,1.0,1.0,15.0,0,1,0,0,4166.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,445.0,1.0,1.0,17.0,0,1,0,0,3820.22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,900.0,3.0,2.0,53.0,0,1,0,0,5888.89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,750.0,2.0,2.0,28.0,0,1,0,0,3733.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,600.0,2.0,2.0,32.0,0,1,0,0,5333.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,900.0,3.0,2.0,42.5,1,0,0,0,4722.22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,900.0,3.0,2.0,30.0,0,1,0,0,3333.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,900.0,2.0,2.0,83.0,0,0,0,1,9222.22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,992.0,2.0,2.0,82.0,1,0,0,0,8266.13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,645.0,2.0,1.0,65.0,0,1,0,0,10077.52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,490.0,1.0,2.0,44.75,0,1,0,0,9132.65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,900.0,2.0,2.0,70.0,0,1,0,0,7777.78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,900.0,2.0,2.0,75.0,0,1,0,0,8333.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,675.0,2.0,2.0,70.0,0,0,0,1,10370.37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,900.0,2.0,2.0,100.0,0,0,0,1,11111.11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,990.0,3.0,3.0,100.0,0,1,0,0,10101.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,900.0,2.0,1.0,85.0,0,1,0,0,9444.44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,675.0,2.0,2.0,38.0,0,1,0,0,5629.63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,700.0,2.0,2.0,35.0,1,0,0,0,5000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,990.0,3.0,2.0,75.0,1,0,0,0,7575.76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,675.0,2.0,3.0,41.0,1,0,0,0,6074.07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,621.0,2.0,2.0,40.0,0,1,0,0,6441.22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,630.0,2.0,2.0,40.0,1,0,0,0,6349.21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,861.0,2.0,2.0,35.0,1,0,0,0,4065.04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,900.0,3.0,2.0,62.0,0,1,0,0,6888.89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,830.0,2.0,2.0,43.0,0,1,0,0,5180.72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,630.0,2.0,2.0,40.0,1,0,0,0,6349.21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,900.0,3.0,2.0,85.0,0,1,0,0,9444.44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,914.0,3.0,2.0,85.0,1,0,0,0,9299.78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,720.0,2.0,2.0,43.7,1,0,0,0,6069.44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,927.0,3.0,3.0,70.0,1,0,0,0,7551.24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,495.0,1.0,1.0,24.0,0,1,0,0,4848.48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,450.0,1.0,1.0,23.0,0,1,0,0,5111.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,700.0,2.0,2.0,64.0,0,0,0,1,9142.86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,675.0,2.0,2.0,35.0,0,1,0,0,5185.19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,800.0,2.0,2.0,38.0,1,0,0,0,4750.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,600.0,2.0,2.0,40.0,0,1,0,0,6666.67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,700.0,2.0,2.0,36.0,0,1,0,0,5142.86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66,450.0,1.0,1.0,19.0,1,0,0,0,4222.22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,700.0,2.0,2.0,35.0,1,0,0,0,5000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,950.0,2.0,2.0,50.0,0,0,0,1,5263.16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,765.0,2.0,2.0,45.0,1,0,0,0,5882.35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,450.0,1.0,1.0,21.5,0,1,0,0,4777.78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,325.0,1.0,1.0,18.5,0,1,0,0,5692.31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,950.0,2.0,2.0,37.0,0,0,0,1,3894.74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,950.0,2.0,2.0,37.0,1,0,0,0,3894.74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74,650.0,2.0,2.0,35.0,0,1,0,0,5384.62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,990.0,2.0,2.0,45.0,1,0,0,0,4545.45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,450.0,1.0,2.0,16.5,0,1,0,0,3666.67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,900.0,2.0,2.0,35.0,0,1,0,0,3888.89,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78,650.0,2.0,1.0,25.0,0,0,0,1,3846.15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,900.0,2.0,2.0,32.0,0,0,0,1,3555.56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,800.0,2.0,2.0,35.0,0,1,0,0,4375.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,947.0,3.0,2.0,48.0,0,1,0,0,5068.64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,900.0,3.0,2.0,38.5,0,1,0,0,4277.78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,900.0,3.0,2.0,45.0,0,1,0,0,5000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,900.0,3.0,2.0,38.0,1,0,0,0,4222.22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,610.0,2.0,1.0,27.0,1,0,0,0,4426.23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
86,550.0,1.0,1.0,27.5,1,0,0,0,5000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87,900.0,3.0,2.0,54.0,0,1,0,0,6000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
88,914.0,3.0,2.0,50.0,1,0,0,0,5470.46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
89,900.0,3.0,2.0,48.0,0,1,0,0,5333.33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91,990.0,2.0,2.0,90.0,0,1,0,0,9090.91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92,850.0,2.0,1.0,86.0,0,1,0,0,10117.65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
93,810.0,2.0,2.0,85.0,0,1,0,0,10493.83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
95,900.0,2.0,2.0,120.0,0,0,0,1,13333.33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
96,645.0,2.0,2.0,90.0,0,1,0,0,13953.49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
97,900.0,2.0,1.0,125.0,0,0,0,1,13888.89,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
98,900.0,3.0,2.0,88.0,0,0,0,1,9777.78,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,807.0,1.0,2.0,100.0,1,0,0,0,12391.57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,360.0,1.0,1.0,45.0,1,0,0,0,12500.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
101,650.0,2.0,1.0,60.0,0,1,0,0,9230.77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
102,650.0,2.0,2.0,70.0,0,0,0,1,10769.23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
103,538.0,1.0,1.0,50.0,0,0,1,0,9293.68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
104,650.0,2.0,1.0,37.0,1,0,0,0,5692.31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,600.0,2.0,2.0,65.0,0,1,0,0,10833.33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106,635.0,2.0,2.0,55.51,0,1,0,0,8741.73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107,340.0,1.0,1.0,21.0,0,0,0,1,6176.47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108,635.0,2.0,2.0,55.0,1,0,0,0,8661.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,968.0,3.0,2.0,65.0,0,1,0,0,6714.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
110,850.0,2.0,1.0,37.5,0,0,1,0,4411.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,900.0,2.0,2.0,60.0,1,0,0,0,6666.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,630.0,1.0,1.0,27.0,0,1,0,0,4285.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
113,675.0,2.0,2.0,51.0,0,1,0,0,7555.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
114,624.0,2.0,2.0,48.0,0,1,0,0,7692.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
115,460.0,1.0,1.0,34.0,0,1,0,0,7391.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
116,900.0,3.0,4.0,60.0,1,0,0,0,6666.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,990.0,2.0,2.0,60.0,0,0,0,1,6060.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
118,900.0,2.0,2.0,60.0,1,0,0,0,6666.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
119,900.0,3.0,2.0,72.0,0,1,0,0,8000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,360.0,1.0,1.0,22.0,0,0,0,1,6111.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
122,620.0,2.0,2.0,28.0,0,0,0,1,4516.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
123,555.0,1.0,1.0,20.0,0,1,0,0,3603.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
125,400.0,1.0,1.0,18.0,0,1,0,0,4500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
127,720.0,2.0,2.0,45.0,0,0,0,1,6250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
128,450.0,1.0,1.0,20.0,0,1,0,0,4444.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129,650.0,2.0,2.0,32.0,0,0,0,1,4923.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
130,900.0,2.0,2.0,38.0,0,0,0,1,4222.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
131,625.0,2.0,2.0,35.0,0,0,0,1,5600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
132,600.0,2.0,2.0,30.0,0,1,0,0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
134,900.0,3.0,2.0,46.0,0,1,0,0,5111.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
136,720.0,2.0,2.0,46.0,1,0,0,0,6388.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
137,650.0,2.0,2.0,32.0,0,0,0,1,4923.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
138,550.0,1.0,1.0,18.5,0,1,0,0,3363.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
139,450.0,1.0,1.0,25.0,0,0,0,1,5555.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
140,450.0,1.0,1.0,17.0,0,1,0,0,3777.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
141,900.0,3.0,2.0,43.0,0,1,0,0,4777.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,900.0,3.0,2.0,50.0,0,0,0,1,5555.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
143,375.0,1.0,1.0,12.0,1,0,0,0,3200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
145,900.0,2.0,1.0,46.0,0,0,0,1,5111.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
146,850.0,2.0,1.0,75.0,0,0,0,1,8823.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
147,860.0,2.0,2.0,105.0,0,0,0,1,12209.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
148,750.0,2.0,2.0,82.0,0,1,0,0,10933.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
149,774.0,2.0,2.0,85.0,0,1,0,0,10981.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
150,900.0,3.0,2.0,86.0,0,0,1,0,9555.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
151,754.0,2.0,2.0,79.0,0,1,0,0,10477.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
152,540.0,1.0,1.0,41.0,0,0,0,1,7592.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,750.0,2.0,2.0,62.0,0,1,0,0,8266.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,900.0,3.0,2.0,70.0,0,1,0,0,7777.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
155,750.0,2.0,2.0,62.0,0,0,0,1,8266.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
156,810.0,1.0,2.0,52.0,1,0,0,0,6419.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
157,990.0,2.0,2.0,60.0,0,1,0,0,6060.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,900.0,3.0,2.0,155.0,0,1,0,0,17222.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,807.0,2.0,2.0,130.0,1,0,0,0,16109.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,350.0,1.0,1.0,25.0,0,1,0,0,7142.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,900.0,3.0,3.0,95.0,0,1,0,0,10555.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,900.0,2.0,2.0,98.0,0,1,0,0,10888.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,630.0,2.0,1.0,90.0,0,1,0,0,14285.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,900.0,2.0,2.0,85.0,0,1,0,0,9444.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,900.0,2.0,2.0,120.0,0,1,0,0,13333.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,720.0,2.0,2.0,58.0,0,0,0,1,8055.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,360.0,1.0,2.0,20.5,0,0,0,1,5694.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,753.0,2.0,2.0,100.0,0,1,0,0,13280.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,753.0,2.0,2.0,95.0,0,1,0,0,12616.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,770.0,2.0,2.0,150.0,0,1,0,0,19480.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,356.0,1.0,1.0,75.0,0,0,1,0,21067.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,648.0,2.0,2.0,72.0,0,1,0,0,11111.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,950.0,2.0,2.0,139.0,0,1,0,0,14631.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,500.0,1.0,1.0,35.0,0,0,0,1,7000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,720.0,2.0,1.0,69.0,0,1,0,0,9583.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,800.0,2.0,2.0,60.0,0,1,0,0,7500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,900.0,3.0,3.0,75.0,0,1,0,0,8333.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,600.0,1.0,1.0,23.0,0,1,0,0,3833.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
